NUM,YEAR,PPTIN,TMINF,TMEANF,TMAXF
7,1971,91.77,23.28,32.14,40.99
7,1972,93.7,22.6,31.6,40.58
7,1973,79.58,24.34,33.36,42.36
7,1974,116.25,25.02,33.68,42.34
7,1975,113.16,22.74,31.04,39.34
7,1976,78.2,26.06,34.73,43.37
7,1977,73.2,23.94,32.9,41.87
7,1978,69.32,24.08,32.73,41.34
7,1979,56.11,24.2,33.72,43.28
7,1980,77.78,25.09,34.18,43.29
7,1981,60.07,26.23,35.17,44.09
7,1982,77.44,21.95,30.96,39.98
7,1983,59.4,24.99,33.84,42.7
7,1984,72.55,24.23,33.07,41.91
7,1985,62.82,21.59,30.26,38.93
7,1986,75.12,25.28,33.97,42.7
7,1987,55.0,26.34,35.48,44.61
7,1988,60.46,25.61,35.02,44.44
7,1989,83.87,22.52,31.09,39.69
7,1990,97.28,23.28,32.11,40.95
7,1991,65.15,23.8,33.1,42.42
7,1992,63.3,24.97,34.26,43.54
7,1993,63.36,22.68,31.44,40.22
7,1994,71.46,24.46,33.84,43.21
7,1995,91.17,23.41,32.38,41.35
7,1996,87.38,20.95,30.34,39.72
7,1997,74.0,24.05,32.98,41.87
7,1998,70.32,25.96,35.26,44.52
7,1999,78.75,25.87,34.14,42.41
7,2000,58.02,24.6,33.22,41.86
7,2001,57.17,25.53,34.25,42.98
7,2002,78.86,23.6,32.32,41.07
7,2003,66.16,25.85,35.1,44.38
7,2004,69.71,26.17,34.81,43.44
7,2005,64.84,25.03,34.2,43.35
7,2006,81.78,26.46,36.01,45.56
7,2007,66.15,26.01,35.46,44.91
7,2008,69.09,24.29,33.76,43.25
7,2009,66.44,23.98,33.52,43.11
7,2010,69.34,25.97,34.93,43.82
7,2011,83.74,24.5,33.65,42.78
7,2012,95.77,26.8,35.85,44.85
7,2013,69.68,25.87,35.04,44.21
7,2014,79.72,25.3,34.29,43.28
7,2015,60.21,27.69,36.74,45.82
8,1966,76.0,24.52,32.8,41.08
8,1967,79.09,24.64,33.06,41.47
8,1968,78.9,23.65,31.81,39.98
8,1969,62.2,24.12,32.54,40.99
8,1970,84.37,23.52,32.01,40.47
8,1971,77.05,23.18,31.42,39.65
8,1972,78.26,22.2,30.52,38.85
8,1973,66.5,23.83,32.36,40.88
8,1974,94.44,24.44,32.58,40.72
8,1975,94.7,22.25,30.15,38.05
8,1976,62.35,25.67,33.76,41.83
8,1977,57.93,23.6,31.93,40.25
8,1978,62.85,23.73,31.78,39.86
8,1979,47.29,24.23,32.94,41.62
8,1980,68.0,25.02,33.28,41.58
8,1981,59.07,25.87,34.12,42.37
8,1982,62.98,21.72,30.12,38.5
8,1983,52.37,24.48,32.81,41.15
8,1984,61.34,23.76,32.07,40.36
8,1985,58.55,21.64,29.88,38.14
8,1986,68.1,25.32,33.52,41.71
8,1987,51.4,26.34,34.92,43.47
8,1988,52.29,25.73,34.4,43.08
8,1989,74.27,22.47,30.69,38.89
8,1990,82.95,23.14,31.53,39.9
8,1991,62.14,23.71,32.48,41.25
8,1992,55.33,24.86,33.62,42.38
8,1993,57.78,22.66,30.98,39.3
8,1994,59.29,24.27,33.09,41.89
8,1995,80.78,23.23,31.74,40.23
8,1996,77.61,20.95,29.74,38.53
8,1997,66.03,23.92,32.29,40.69
8,1998,59.61,25.55,34.29,43.06
8,1999,66.03,25.34,33.25,41.19
8,2000,50.0,24.11,32.43,40.69
8,2001,48.84,25.07,33.47,41.85
8,2002,69.03,23.53,31.74,39.92
8,2003,54.89,25.67,34.51,43.35
8,2004,62.03,26.01,34.27,42.52
8,2005,60.67,25.02,33.58,42.16
8,2006,65.93,26.25,34.97,43.72
8,2007,53.34,25.69,34.46,43.23
8,2008,56.83,23.79,32.73,41.63
8,2009,54.49,23.53,32.47,41.42
8,2010,63.04,25.42,33.78,42.14
8,2011,73.04,23.92,32.52,41.08
8,2012,86.05,26.16,34.69,43.24
8,2013,61.97,25.52,34.12,42.72
8,2014,67.63,24.98,33.46,41.93
8,2015,51.17,27.53,36.09,44.66
9,1966,111.98,25.67,34.63,43.6
9,1967,106.16,25.62,34.81,44.01
9,1968,99.26,25.24,33.67,42.11
9,1969,78.13,25.56,34.39,43.22
9,1970,118.04,24.71,33.82,42.92
9,1971,103.81,24.41,33.18,41.95
9,1972,109.35,23.78,32.63,41.48
9,1973,92.25,25.45,34.42,43.4
9,1974,135.45,26.02,34.66,43.31
9,1975,132.69,23.58,31.92,40.25
9,1976,92.24,27.07,35.71,44.36
9,1977,90.41,25.23,34.06,42.92
9,1978,79.62,25.17,33.72,42.24
9,1979,73.01,25.84,35.04,44.23
9,1980,96.36,26.3,35.35,44.41
9,1981,72.93,27.64,36.4,45.16
9,1982,93.18,23.15,32.12,41.1
9,1983,67.57,26.05,34.86,43.64
9,1984,90.36,24.94,33.9,42.86
9,1985,80.08,22.58,31.37,40.18
9,1986,93.26,26.31,35.33,44.36
9,1987,68.83,27.34,36.72,46.08
9,1988,76.67,26.67,36.07,45.48
9,1989,106.72,23.54,32.43,41.34
9,1990,118.73,24.37,33.47,42.57
9,1991,84.1,24.95,34.34,43.72
9,1992,78.44,26.22,35.54,44.86
9,1993,72.1,23.82,32.66,41.51
9,1994,85.77,25.67,35.18,44.64
9,1995,111.47,24.66,33.72,42.74
9,1996,100.63,22.28,31.6,40.97
9,1997,89.43,25.35,34.2,43.06
9,1998,78.98,27.29,36.47,45.64
9,1999,93.15,26.93,35.31,43.69
9,2000,70.2,25.7,34.43,43.16
9,2001,69.7,26.61,35.48,44.33
9,2002,99.99,24.95,33.58,42.22
9,2003,74.18,27.16,36.27,45.38
9,2004,83.31,27.36,35.94,44.52
9,2005,77.97,26.35,35.39,44.44
9,2006,90.77,27.73,37.07,46.41
9,2007,72.89,27.37,36.63,45.9
9,2008,77.9,25.48,34.76,44.06
9,2009,78.21,25.24,34.63,44.03
9,2010,79.72,27.16,35.92,44.67
9,2011,96.47,25.69,34.6,43.56
9,2012,109.8,27.92,36.82,45.71
9,2013,79.68,27.13,36.14,45.17
9,2014,89.87,26.59,35.52,44.42
9,2015,73.29,28.99,38.1,47.22
10,1966,78.83,26.78,34.83,42.88
10,1967,75.85,26.72,34.93,43.18
10,1968,89.3,25.67,33.8,41.87
10,1969,59.07,26.48,34.83,43.17
10,1970,96.79,25.94,34.02,42.08
10,1971,92.75,25.5,33.45,41.4
10,1972,96.14,24.75,32.82,40.87
10,1973,71.98,26.03,34.32,42.58
10,1974,101.18,26.68,34.52,42.38
10,1975,94.47,24.3,31.95,39.6
10,1976,72.79,27.87,35.78,43.72
10,1977,70.46,26.15,34.12,42.08
10,1978,63.51,26.12,33.86,41.57
10,1979,59.15,27.2,35.51,43.82
10,1980,76.87,27.72,35.71,43.69
10,1981,57.81,28.49,36.51,44.5
10,1982,74.78,24.41,32.43,40.45
10,1983,60.46,27.06,34.95,42.83
10,1984,71.41,25.82,33.99,42.17
10,1985,59.67,23.87,32.19,40.5
10,1986,63.63,27.53,35.69,43.82
10,1987,53.93,28.41,36.76,45.11
10,1988,57.53,27.98,36.43,44.88
10,1989,79.64,24.61,32.7,40.78
10,1990,87.65,25.21,33.48,41.72
10,1991,68.53,25.78,34.09,42.42
10,1992,56.79,27.38,35.51,43.63
10,1993,59.4,24.38,32.3,40.19
10,1994,64.53,26.6,35.01,43.42
10,1995,82.94,25.68,33.58,41.49
10,1996,82.6,23.69,31.91,40.11
10,1997,72.11,25.94,33.92,41.89
10,1998,64.7,28.25,36.28,44.32
10,1999,68.28,27.28,35.12,42.98
10,2000,54.91,26.55,34.52,42.48
10,2001,54.99,27.35,35.49,43.62
10,2002,75.26,25.96,33.77,41.57
10,2003,62.72,28.21,36.23,44.24
10,2004,69.79,28.05,35.79,43.56
10,2005,66.39,27.16,35.38,43.58
10,2006,72.87,28.32,36.67,45.02
10,2007,58.0,28.18,36.42,44.69
10,2008,74.79,26.08,34.3,42.54
10,2009,61.2,26.32,34.64,43.0
10,2010,61.98,27.89,35.78,43.67
10,2011,81.05,26.19,34.17,42.13
10,2012,91.37,28.52,36.48,44.42
10,2013,63.74,28.02,35.87,43.74
10,2014,78.19,27.57,35.5,43.45
10,2015,50.55,30.1,38.33,46.56
11,1966,111.47,25.65,34.63,43.56
11,1967,105.75,25.6,34.79,43.98
11,1968,97.67,25.31,33.69,42.08
11,1969,77.37,25.56,34.37,43.16
11,1970,116.74,24.67,33.78,42.91
11,1971,102.15,24.4,33.15,41.91
11,1972,107.93,23.78,32.62,41.44
11,1973,91.46,25.5,34.43,43.38
11,1974,134.92,26.05,34.69,43.31
11,1975,132.26,23.6,31.91,40.21
11,1976,91.74,27.11,35.7,44.33
11,1977,89.72,25.24,34.08,42.92
11,1978,79.24,25.18,33.69,42.23
11,1979,72.81,25.82,35.02,44.2
11,1980,96.11,26.22,35.32,44.41
11,1981,72.63,27.67,36.4,45.11
11,1982,92.81,23.13,32.1,41.06
11,1983,66.99,26.07,34.86,43.64
11,1984,89.92,24.93,33.87,42.84
11,1985,79.73,22.53,31.33,40.1
11,1986,92.99,26.3,35.33,44.36
11,1987,68.53,27.33,36.71,46.09
11,1988,76.53,26.61,36.02,45.44
11,1989,106.46,23.55,32.42,41.33
11,1990,118.37,24.37,33.46,42.55
11,1991,84.02,24.98,34.35,43.7
11,1992,78.27,26.26,35.55,44.85
11,1993,71.45,23.83,32.69,41.53
11,1994,85.33,25.7,35.18,44.66
11,1995,111.21,24.71,33.72,42.73
11,1996,99.85,22.3,31.63,40.95
11,1997,88.89,25.39,34.23,43.03
11,1998,78.6,27.33,36.48,45.62
11,1999,92.72,26.98,35.32,43.67
11,2000,69.83,25.72,34.43,43.15
11,2001,69.22,26.67,35.48,44.33
11,2002,99.81,25.02,33.61,42.2
11,2003,73.51,27.23,36.31,45.37
11,2004,82.85,27.4,35.96,44.52
11,2005,77.29,26.39,35.43,44.45
11,2006,90.25,27.81,37.09,46.4
11,2007,72.57,27.42,36.66,45.92
11,2008,77.47,25.54,34.78,44.05
11,2009,77.69,25.3,34.65,44.04
11,2010,79.16,27.24,35.98,44.68
11,2011,95.9,25.73,34.65,43.56
11,2012,108.92,28.02,36.86,45.71
11,2013,79.03,27.19,36.2,45.16
11,2014,89.27,26.67,35.54,44.42
11,2015,73.14,29.05,38.13,47.23
12,1966,78.51,26.39,35.34,44.25
12,1967,82.29,26.65,35.8,44.97
12,1968,83.82,25.98,34.59,43.2
12,1969,63.38,25.66,34.76,43.9
12,1970,91.48,25.28,34.43,43.59
12,1971,84.68,24.93,33.82,42.72
12,1972,83.46,24.12,33.05,41.99
12,1973,72.88,25.91,34.96,43.98
12,1974,100.24,26.56,35.19,43.84
12,1975,96.26,24.23,32.59,40.96
12,1976,64.34,27.27,35.93,44.58
12,1977,61.38,25.39,34.28,43.17
12,1978,62.26,25.27,33.97,42.68
12,1979,52.43,25.77,35.14,44.51
12,1980,71.43,26.39,35.33,44.28
12,1981,59.17,27.67,36.4,45.12
12,1982,65.48,23.31,32.4,41.49
12,1983,55.57,26.26,35.12,43.98
12,1984,64.34,25.78,34.54,43.29
12,1985,58.09,23.51,32.21,40.93
12,1986,69.65,27.23,35.96,44.72
12,1987,51.0,28.16,37.43,46.68
12,1988,55.2,27.44,36.74,46.03
12,1989,75.06,24.62,33.3,41.98
12,1990,86.46,25.39,34.23,43.08
12,1991,65.26,25.87,35.04,44.2
12,1992,54.89,26.82,36.05,45.31
12,1993,57.44,24.58,33.34,42.09
12,1994,60.31,26.22,35.64,45.08
12,1995,83.77,25.32,34.19,43.03
12,1996,82.0,22.94,32.07,41.2
12,1997,68.54,25.87,34.63,43.42
12,1998,62.48,27.51,36.79,46.06
12,1999,68.71,27.3,35.77,44.21
12,2000,50.74,25.81,34.73,43.67
12,2001,49.78,26.89,35.83,44.75
12,2002,70.0,25.49,34.1,42.68
12,2003,58.57,27.5,36.81,46.12
12,2004,64.56,27.93,36.62,45.38
12,2005,62.85,26.88,35.88,44.88
12,2006,69.62,28.19,37.33,46.49
12,2007,57.71,27.5,36.78,46.1
12,2008,60.54,25.71,35.11,44.51
12,2009,56.05,25.31,34.86,44.39
12,2010,65.51,27.34,36.16,44.96
12,2011,76.87,25.98,34.98,43.93
12,2012,88.64,28.16,37.14,46.09
12,2013,62.72,27.53,36.64,45.74
12,2014,70.4,26.98,35.96,44.94
12,2015,53.04,29.32,38.63,47.93
13,1966,118.07,25.58,34.11,42.66
13,1967,111.24,25.53,34.3,43.05
13,1968,123.04,24.75,33.14,41.53
13,1969,88.47,25.28,34.01,42.76
13,1970,138.18,24.68,33.34,41.96
13,1971,131.05,24.3,32.72,41.18
13,1972,130.1,23.65,32.17,40.68
13,1973,104.54,25.09,33.77,42.44
13,1974,145.26,25.75,34.01,42.3
13,1975,135.87,23.34,31.34,39.37
13,1976,101.03,26.88,35.18,43.49
13,1977,101.15,25.11,33.52,41.93
13,1978,83.5,24.99,33.15,41.28
13,1979,79.28,26.17,34.76,43.34
13,1980,102.46,26.51,34.97,43.47
13,1981,77.59,27.46,35.85,44.28
13,1982,99.52,23.22,31.77,40.31
13,1983,77.99,25.96,34.34,42.72
13,1984,96.46,24.79,33.34,41.88
13,1985,83.43,22.57,31.17,39.73
13,1986,91.39,26.26,34.88,43.49
13,1987,72.06,27.23,36.12,45.02
13,1988,78.43,26.71,35.66,44.61
13,1989,107.73,23.42,31.92,40.44
13,1990,124.2,24.26,32.9,41.58
13,1991,89.03,24.92,33.73,42.57
13,1992,77.59,26.34,35.03,43.75
13,1993,76.58,23.58,31.98,40.38
13,1994,89.92,25.73,34.6,43.5
13,1995,113.82,24.69,33.16,41.62
13,1996,111.01,22.47,31.23,40.0
13,1997,98.48,25.31,33.68,42.05
13,1998,83.91,27.31,35.89,44.52
13,1999,97.48,26.63,34.72,42.8
13,2000,74.48,25.65,33.98,42.32
13,2001,75.49,26.52,34.97,43.4
13,2002,100.52,24.92,33.12,41.33
13,2003,83.63,27.19,35.79,44.38
13,2004,89.96,27.15,35.43,43.68
13,2005,86.58,26.23,34.92,43.58
13,2006,97.69,27.52,36.4,45.23
13,2007,77.41,27.26,36.02,44.78
13,2008,90.52,25.29,34.04,42.79
13,2009,82.37,25.22,34.1,42.99
13,2010,84.05,26.95,35.25,43.55
13,2011,105.82,25.52,33.93,42.34
13,2012,122.11,27.69,36.1,44.52
13,2013,87.49,27.11,35.57,44.02
13,2014,100.5,26.61,35.0,43.42
13,2015,72.77,29.09,37.7,46.32
14,1966,71.68,25.67,33.94,42.24
14,1967,73.61,26.07,34.37,42.71
14,1968,74.33,25.33,33.37,41.39
14,1969,57.89,24.88,33.41,41.9
14,1970,76.29,24.68,33.23,41.79
14,1971,70.72,24.42,32.67,40.96
14,1972,71.69,23.28,31.64,39.97
14,1973,62.63,25.32,33.79,42.24
14,1974,86.17,25.85,33.98,42.12
14,1975,88.35,23.58,31.34,39.1
